18:07:25.287 Connecting to CUBESAT-ESP32 ...
18:07:26.005 Connected
18:07:29.298 [CUBESAT]: Time: 7436 | Angle 60.60° | Setpoint: 90 | Dc= 0.00
18:07:29.298 [CUBESAT]: Time: 7446 | Angle 60.60° | Setpoint: 90 | Dc= 0.00
18:07:29.300 [CUBESAT]: Time: 7456 | Angle 60.61° | Setpoint: 90 | Dc= 0.00
18:07:29.300 [CUBESAT]: Time: 7466 | Angle 60.61° | Setpoint: 90 | Dc= 0.00
18:07:29.300 [CUBESAT]: Time: 7476 | Angle 60.62° | Setpoint: 90 | Dc= 0.00
18:07:29.300 [CUBESAT]: Time: 7486 | Angle 60.63° | Setpoint: 90 | Dc= 0.00
18:07:29.300 [CUBESAT]: Time: 7496 | Angle 60.63° | Setpoint: 90 | Dc= 0.00
18:07:29.300 [CUBESAT]: Time: 7506 | Angle 60.64° | Setpoint: 90 | Dc= 0.00
18:07:29.300 [CUBESAT]: Time: 7516 | Angle 60.65° | Setpoint: 90 | Dc= 0.00
18:07:29.301 [CUBESAT]: Time: 7530 | Angle 60.66° | Setpoint: 90 | Dc= 0.00
18:07:29.302 [CUBESAT]: Time: 7544 | Angle 60.66° | Setpoint: 90 | Dc= 0.00
18:07:29.364 [CUBESAT]: Time: 7557 | Angle 60.67° | Setpoint: 90 | Dc= 0.00
18:07:29.364 [CUBESAT]: Time: 7568 | Angle 60.68° | Setpoint: 90 | Dc= 0.00
18:07:29.364 [CUBESAT]: Time: 7578 | Angle 60.69° | Setpoint: 90 | Dc= 0.00
18:07:29.366 [CUBESAT]: Time: 7594 | Angle 60.69° | Setpoint: 90 | Dc= 0.00
18:07:29.366 [CUBESAT]: Time: 7607 | Angle 60.70° | Setpoint: 90 | Dc= 0.00
18:07:29.367 [CUBESAT]: Time: 7621 | Angle 60.71° | Setpoint: 90 | Dc= 0.00
