Time,Angle,Setpoint,Dc
5531,66.56,0,0.00
5545,66.57,0,0.00
5559,66.58,0,0.00
5572,66.59,0,0.00
5585,66.59,0,0.00
5598,66.60,0,0.00
5611,66.61,0,0.00
5627,66.62,0,0.00
5641,66.63,0,0.00
5655,66.63,0,0.00
5668,66.64,0,0.00
5681,66.65,0,0.00
5694,66.66,0,0.00
5709,66.67,0,0.00
5723,66.67,0,0.00
5736,66.68,0,0.00
5749,66.69,0,0.00
5762,66.70,0,0.00
5775,66.70,0,0.00
5788,66.71,0,0.00
5803,66.72,0,0.00
5817,66.73,0,0.00
5831,66.74,0,0.00
5844,66.74,0,0.00
5857,66.75,0,0.00
5870,66.76,0,0.00
5886,66.77,0,0.00
5900,66.78,0,0.00
5914,66.79,0,0.00
5927,66.79,0,0.00
5940,66.80,0,0.00
6662,-0.87,90,0.00
6642,-0.87,90,0.00
6681,-0.87,90,0.00
6695,-0.87,90,0.00
6709,-0.87,90,0.00
6723,-0.87,90,0.00
6738,-0.87,90,0.00
6752,-0.87,90,0.00
6766,-0.87,90,0.00
6780,-0.87,90,0.00
6793,-0.87,90,0.00
6806,-0.87,90,0.00
6821,-0.87,90,0.00
6835,-0.87,90,0.00
6849,-0.87,90,0.00
6863,-0.87,90,0.00
6877,-0.87,90,0.00
6890,-0.87,90,0.00
6903,-0.87,90,0.00
6916,-0.87,90,0.00
6930,-0.87,90,0.00
6944,-0.87,90,0.00
6958,-0.87,90,0.00
6972,-0.87,90,0.00
6985,-0.87,90,0.00
6998,-0.87,90,0.00
7013,-0.87,90,0.00
