18:08:12.822 [CUBESAT]: Time: 8449 | Angle -278.03° | Setpoint: 90 | Dc= 0.40
18:08:12.835 [CUBESAT]: Time: 8464 | Angle -280.62° | Setpoint: 90 | Dc= 0.40
18:08:12.919 [CUBESAT]: Time: 8478 | Angle -282.69° | Setpoint: 90 | Dc= 0.40
18:08:12.921 [CUBESAT]: Time: 8492 | Angle -285.28° | Setpoint: 90 | Dc= 0.40
18:08:12.921 [CUBESAT]: Time: 8506 | Angle -287.88° | Setpoint: 90 | Dc= 0.40
18:08:12.923 [CUBESAT]: Time: 8519 | Angle -289.95° | Setpoint: 90 | Dc= 0.40
18:08:12.924 [CUBESAT]: Time: 8532 | Angle -292.02° | Setpoint: 90 | Dc= 0.40
18:08:13.096 [CUBESAT]: Time: 8546 | Angle -294.61° | Setpoint: 90 | Dc= 0.40
18:08:13.096 [CUBESAT]: Time: 8557 | Angle -296.69° | Setpoint: 90 | Dc= 0.40
18:08:13.096 [CUBESAT]: Time: 8569 | Angle -298.76° | Setpoint: 90 | Dc= 0.40
18:08:13.096 [CUBESAT]: Time: 8582 | Angle -300.84° | Setpoint: 90 | Dc= 0.40
18:08:13.098 [CUBESAT]: Time: 8595 | Angle -302.92° | Setpoint: 90 | Dc= 0.40
18:08:13.098 [CUBESAT]: Time: 8609 | Angle -305.53° | Setpoint: 90 | Dc= 0.40
18:08:13.128 [CUBESAT]: Time: 8622 | Angle -307.61° | Setpoint: 90 | Dc= 0.40
18:08:13.131 [CUBESAT]: Time: 8633 | Angle -309.70° | Setpoint: 90 | Dc= 0.40
18:08:13.131 [CUBESAT]: Time: 8643 | Angle -311.26° | Setpoint: 90 | Dc= 0.40
18:08:13.131 [CUBESAT]: Time: 8653 | Angle -313.35° | Setpoint: 90 | Dc= 0.40
18:08:13.131 [CUBESAT]: Time: 8663 | Angle -314.92° | Setpoint: 90 | Dc= 0.40
18:08:13.131 [CUBESAT]: Time: 8673 | Angle -316.49° | Setpoint: 90 | Dc= 0.40
18:08:13.134 [CUBESAT]: Time: 8683 | Angle -318.57° | Setpoint: 90 | Dc= 0.40
18:08:13.134 [CUBESAT]: Time: 8693 | Angle -320.14° | Setpoint: 90 | Dc= 0.40
18:08:13.134 [CUBESAT]: Time: 8703 | Angle -321.71° | Setpoint: 90 | Dc= 0.40
18:08:13.134 [CUBESAT]: Time: 8713 | Angle -323.81° | Setpoint: 90 | Dc= 0.40
18:08:13.134 [CUBESAT]: Time: 8723 | Angle -325.39° | Setpoint: 90 | Dc= 0.40
18:08:13.134 [CUBESAT]: Time: 8733 | Angle -326.96° | Setpoint: 90 | Dc= 0.40
18:08:13.135 [CUBESAT]: Time: 8748 | Angle -329.59° | Setpoint: 90 | Dc= 0.40
18:08:13.136 [CUBESAT]: Time: 8761 | Angle -332.23° | Setpoint: 90 | Dc= 0.40
18:08:13.143 [CUBESAT]: Time: 8775 | Angle -334.34° | Setpoint: 90 | Dc= 0.40
18:08:13.159 [CUBESAT]: Time: 8790 | Angle -336.99° | Setpoint: 90 | Dc= 0.40
18:08:13.194 [CUBESAT]: Time: 8804 | Angle -339.63° | Setpoint: 90 | Dc= 0.40
18:08:13.195 [CUBESAT]: Time: 8818 | Angle -342.29° | Setpoint: 90 | Dc= 0.40
18:08:13.201 [CUBESAT]: Time: 8832 | Angle -344.41° | Setpoint: 90 | Dc= 0.40
18:08:13.218 [CUBESAT]: Time: 8848 | Angle -347.61° | Setpoint: 90 | Dc= 0.40
18:08:13.230 [CUBESAT]: Time: 8862 | Angle -349.75° | Setpoint: 90 | Dc= 0.40
18:08:13.244 [CUBESAT]: Time: 8876 | Angle -352.43° | Setpoint: 90 | Dc= 0.40
18:08:13.259 [CUBESAT]: Time: 8890 | Angle -355.12° | Setpoint: 90 | Dc= 0.40
18:08:13.277 [CUBESAT]: Time: 8903 | Angle -357.28° | Setpoint: 90 | Dc= 0.40
18:08:13.286 [CUBESAT]: Time: 8916 | Angle -359.45° | Setpoint: 90 | Dc= 0.40
18:08:13.298 [CUBESAT]: Time: 8930 | Angle -362.15° | Setpoint: 90 | Dc= 0.40
18:08:13.312 [CUBESAT]: Time: 8944 | Angle -364.88° | Setpoint: 90 | Dc= 0.40
