Time,Angle
35.812,335.54
35.817,336.03
35.817,336.52
35.819,337.01
35.822,337.51
35.822,338.00
35.826,338.50
35.826,338.99
35.831,339.48
35.893,339.97
35.895,340.46
35.896,340.95
35.898,341.68
35.898,342.17
35.899,342.66
35.907,343.15
35.908,343.64
35.908,344.14
35.908,344.63
35.908,345.13
35.908,359.55
35.909,0.04
35.913,0.54
35.915,1.03
35.979,1.52
35.979,2.02
35.981,2.51
35.982,3.00
35.984,3.50
35.984,4.00
35.990,4.24
35.991,4.74
35.991,5.24
35.991,5.74
35.991,6.24
35.991,6.74
35.991,7.23
35.994,20.78
35.998,21.28
36.000,21.78
36.000,22.28
36.002,22.78
36.070,23.28
36.070,23.78
36.071,24.28
36.072,24.78
36.072,25.28
36.080,25.79
36.080,26.29
36.080,26.80
36.080,27.30
36.080,27.80
36.083,43.38
36.087,43.90
36.089,44.41
36.089,44.92
36.091,45.43
36.093,45.94
36.154,46.45
36.154,46.96
36.154,47.47
36.154,47.98
36.158,48.50
36.160,49.01
36.160,49.27
36.160,49.78
36.160,50.30
36.161,62.78
36.164,63.31
36.165,63.83
36.166,64.35
36.169,64.87
36.259,65.40
36.259,65.92
36.259,66.44
36.259,66.96
36.260,67.48
36.262,68.00
36.420,68.52
36.420,69.05
36.420,69.57
36.420,70.10
36.420,70.62
36.420,71.15
36.421,92.91
36.425,93.44
36.427,93.98
36.428,94.52
36.434,95.05
36.434,95.59
36.434,96.13
36.434,96.66
36.437,138.21
36.437,138.78
36.437,139.34
36.440,139.90
36.444,140.46
36.444,141.02
36.444,141.58
36.445,142.14
36.452,142.69
36.452,143.25
36.456,143.81
36.457,144.37
36.458,144.93
36.459,145.78
36.463,146.35
36.467,146.91
36.468,147.48
36.468,148.04
36.469,148.61
36.472,149.17
36.475,149.73
36.475,150.29
36.492,150.85
36.492,151.41
36.492,151.97
36.493,152.54
36.508,153.11
36.509,153.67
36.526,154.24
36.528,154.81
36.528,155.38
36.528,155.94
36.528,156.51
36.528,157.07
36.535,161.64
36.550,162.21
36.551,162.78
36.554,163.35
36.554,163.92
36.554,164.48
36.554,165.05
36.554,165.61
36.557,169.05
36.559,169.63
36.563,170.20
36.565,170.77
36.565,171.34
36.565,171.91
36.565,172.48
36.565,173.04
36.567,176.49
36.571,177.07
36.573,177.65
36.573,178.22
36.577,178.79
36.578,179.37
36.579,179.94
36.583,180.50
36.586,181.07
36.590,181.64
36.590,182.21
36.592,182.78
36.593,183.36
36.594,183.94
36.596,184.51
36.600,185.09
36.600,185.67
36.600,186.24
36.606,186.82
36.606,187.68
36.607,188.25
36.611,188.82
36.613,189.39
36.616,189.96
36.617,190.53
36.619,191.11
36.622,191.68
36.622,192.26
36.624,192.84
36.627,193.42
36.629,194.00
36.630,194.57
36.634,195.14
36.636,195.72
36.637,196.29
36.644,196.86
36.645,197.43
36.645,198.01
36.645,198.59
36.649,199.16
36.649,199.74
36.651,200.32
36.653,200.90
36.655,201.47
36.659,202.05
36.659,202.62
36.660,203.19
36.663,203.77
36.664,204.34
36.668,204.92
36.670,205.78
36.672,206.36
36.675,206.94
36.677,207.52
36.677,208.10
36.732,208.67
36.732,209.25
36.732,209.82
36.732,210.40
36.734,210.97
36.737,211.54
36.738,212.12
36.739,212.69
36.745,213.27
36.745,213.85
36.745,214.43
36.745,215.01
36.745,215.59
36.749,228.32
36.752,228.90
36.753,229.48
36.753,230.06
36.755,230.64
36.817,231.22
36.817,231.79
36.818,232.36
36.819,232.94
36.819,233.51
36.827,234.08
36.827,234.66
36.827,235.23
36.827,235.81
36.827,236.39
36.828,251.75
36.835,252.33
36.836,252.91
36.836,253.48
36.837,254.05
36.839,254.63
36.842,255.20
36.910,255.77
36.910,256.34
