Time,Angle,Setpoint,Dc
10727,-345.43,-90,0.20
10741,-346.62,-90,0.20
10755,-348.10,-90,0.20
10769,-349.58,-90,0.20
10783,-350.76,-90,0.20
10797,-352.24,-90,0.20
10810,-353.42,-90,0.20
10827,-355.18,-90,0.20
10841,-356.65,-90,0.20
10855,-357.82,-90,0.20
10869,-359.29,-90,0.20
10882,-360.46,-90,0.20
10896,-361.93,-90,0.20
10910,-363.40,-90,0.20
10924,-364.57,-90,0.20
10937,-366.04,-90,0.20
10951,-367.21,-90,0.20
10965,-368.68,-90,0.20
10979,-370.15,-90,0.20
10993,-371.62,-90,0.20
11009,-373.09,-90,0.20
11023,-374.27,-90,0.20
11037,-375.75,-90,0.20
11050,-376.93,-90,0.20
11066,-378.70,-90,0.20
11080,-379.88,-90,0.20
11094,-381.36,-90,0.20
11108,-382.84,-90,0.20
11121,-384.03,-90,0.20
11135,-385.52,-90,0.20
11148,-386.71,-90,0.20
11161,-387.91,-90,0.20
11175,-389.40,-90,0.20
11189,-390.90,-90,0.20
11200,-391.81,-90,0.20
11210,-393.01,-90,0.20
11220,-393.92,-90,0.20
11230,-394.82,-90,0.20
11240,-396.03,-90,0.20
11250,-396.94,-90,0.20
11260,-397.85,-90,0.20
11270,-399.08,-90,0.20
11280,-399.99,-90,0.20
11290,-400.91,-90,0.20
11300,-402.13,-90,0.20
11310,-403.05,-90,0.20
11320,-403.98,-90,0.20
11330,-405.22,-90,0.20
11340,-406.14,-90,0.20
11350,-407.07,-90,0.20
11370,-409.25,-90,0.20
11387,-411.12,-90,0.20
11400,-412.38,-90,0.20
11413,-413.64,-90,0.20
11427,-415.22,-90,0.20
11440,-416.49,-90,0.20
11453,-418.08,-90,0.20
11469,-419.67,-90,0.20
11483,-421.28,-90,0.20
11496,-422.57,-90,0.20
11509,-423.87,-90,0.20
11522,-425.48,-90,0.20
11535,-426.79,-90,0.20
11551,-428.42,-90,0.20
11565,-430.07,-90,0.20
11579,-431.72,-90,0.20
11592,-433.04,-90,0.20
11605,-434.37,-90,0.20
11620,-436.05,-90,0.20
11634,-437.72,-90,0.20
11648,-439.40,-90,0.20
11662,-440.76,-90,0.20
11675,-442.46,-90,0.20
11688,-443.82,-90,0.20
11704,-445.53,-90,0.20
11718,-447.25,-90,0.20
11732,-448.98,-90,0.20
11746,-450.37,-90,0.20
11760,-452.11,-90,0.20
11773,-453.51,-90,0.20
11789,-455.62,-90,0.20
11803,-457.03,-90,0.20
11817,-458.80,-90,0.20
11830,-460.22,-90,0.20
11843,-462.01,-90,0.20
11857,-463.80,-90,0.20
11873,-465.60,-90,0.20
11887,-467.04,-90,0.20
11901,-468.85,-90,0.20
11915,-470.67,-90,0.20
11928,-472.13,-90,0.20
11941,-473.60,-90,0.20
11955,-475.44,-90,0.20
11969,-477.29,-90,0.20
11983,-478.78,-90,0.20
11997,-480.64,-90,0.20
12010,-482.14,0,0.20
13,-484.02,0,0.20
26,-485.54,0,0.20
41,-487.43,0,0.20
55,-489.34,0,0.20
69,-490.88,0,0.20
82,-492.81,0,0.20
95,-494.36,0,0.20
108,-496.30,0,0.20
125,-498.26,0,0.20
139,-500.22,0,0.20
153,-501.79,0,0.20
167,-503.77,0,0.20
180,-505.36,0,0.20
193,-507.35,0,0.20
207,-508.94,0,0.20
218,-510.55,0,0.20
228,-511.76,0,0.20
238,-513.37,0,0.20
248,-514.58,0,0.20
258,-515.79,0,0.20
268,-517.42,0,0.20
278,-518.64,0,0.20
288,-519.87,0,0.20
298,-521.50,0,0.20
308,-522.73,0,0.20
318,-523.96,0,0.20
328,-525.61,0,0.20
338,-526.84,0,0.20
348,-528.08,0,0.20
358,-529.73,0,0.20
368,-530.97,0,0.20
378,-532.22,0,0.20
388,-533.88,0,0.20
403,-535.96,0,0.20
417,-537.63,0,0.20
428,-539.30,0,0.20
438,-540.56,0,0.20
448,-542.23,0,0.20
466,-544.76,0,0.20
481,-546.87,0,0.20
495,-548.55,0,0.20
509,-550.67,0,0.20
522,-552.37,0,0.20
535,-554.48,0,0.20
550,-556.60,0,0.20
564,-558.31,0,0.20
577,-560.43,0,0.20
590,-562.13,0,0.20
603,-563.84,0,0.20
616,-565.97,0,0.20
629,-567.68,0,0.20
642,-569.38,0,0.20
659,-571.95,0,0.20
673,-574.08,0,0.20
686,-575.79,0,0.20
699,-577.50,0,0.20
712,-579.64,0,0.20
727,-581.77,0,0.20
741,-583.47,0,0.20
755,-585.61,0,0.20
768,-587.32,0,0.20
781,-589.45,0,0.20
794,-591.15,0,0.20
807,-592.85,0,0.20
820,-594.98,0,0.20
833,-596.68,0,0.20
846,-598.38,0,0.20
857,-600.07,0,0.20
867,-601.34,0,0.20
881,-603.46,0,0.20
895,-605.57,0,0.20
912,-607.69,0,0.20
926,-609.80,0,0.20
940,-611.90,0,0.20
953,-613.59,0,0.20
966,-615.26,0,0.20
983,-617.78,0,0.20
997,-619.87,0,0.20
1010,-621.53,0,0.20
1023,-623.19,0,0.20
1036,-625.27,0,0.20
